	sub	arousal	attractiveness	dominance	trustworthiness	valence
id-1345_AU17-66_AU25-66_AU6-100	sub-01	0.43613999774931456	0.4475	0.33875	8.326672684688674e-17	-0.15353575009207351
id-1345_AU25-100_AU43-66	sub-01	0.43613999774931456	0.4475	0.33875	8.326672684688674e-17	-0.15353575009207351
id-1345_AU26-66_AU27i-100_AU9-100	sub-01	0.43613999774931456	0.4475	0.33875	8.326672684688674e-17	-0.15353575009207351
id-1347_AU1-100_AU11-66_AU25-33_AU5-33	sub-01	0.2581472255186807	-0.8	-0.21375	-0.4575	-0.11549149343209068
id-1347_AU1-66_AU26-33	sub-01	0.2581472255186807	-0.8	-0.21375	-0.4575	-0.11549149343209068
id-1347_AU10Open-100_AU25-100	sub-01	0.2581472255186807	-0.8	-0.21375	-0.4575	-0.11549149343209068
id-1347_AU10Open-33	sub-01	0.2581472255186807	-0.8	-0.21375	-0.4575	-0.11549149343209068
id-1347_AU11-100_AU16Open-100_AU22-100_AU24-33	sub-01	0.2581472255186807	-0.8	-0.21375	-0.4575	-0.11549149343209068
id-1347_AU11-33_AU4-100	sub-01	0.2581472255186807	-0.8	-0.21375	-0.4575	-0.11549149343209068
id-1347_AU13-100_AU14-66_AU17-100_AU27i-66_AU7-100	sub-01	0.2581472255186807	-0.8	-0.21375	-0.4575	-0.11549149343209068
id-1347_AU13-33_AU22-33_AU43-100	sub-01	0.2581472255186807	-0.8	-0.21375	-0.4575	-0.11549149343209068
id-1347_AU15-100_AU16Open-33_AU25-100_AU27i-100	sub-01	0.2581472255186807	-0.8	-0.21375	-0.4575	-0.11549149343209068
id-1347_AU16Open-100_AU24-100_AU26-100_AU43-33_AU5-66	sub-01	0.2581472255186807	-0.8	-0.21375	-0.4575	-0.11549149343209068
id-1347_AU17-66_AU26-100_AU27i-100_AU9-33	sub-01	0.2581472255186807	-0.8	-0.21375	-0.4575	-0.11549149343209068
id-1347_AU20-100_AU5-100	sub-01	0.2581472255186807	-0.8	-0.21375	-0.4575	-0.11549149343209068
id-1347_AU22-100_AU6-100	sub-01	0.2581472255186807	-0.8	-0.21375	-0.4575	-0.11549149343209068
id-1347_AU4-33_AU43-66_AU9-66	sub-01	0.2581472255186807	-0.8	-0.21375	-0.4575	-0.11549149343209068
id-1354_AU1-66_AU10Open-100	sub-01	0.3254040363997217	-0.29000000000000004	-0.09875	-0.15749999999999997	-0.19293873020419855
id-1354_AU10Open-100_AU17-100_AU27i-33_AU4-33	sub-01	0.3254040363997217	-0.29000000000000004	-0.09875	-0.15749999999999997	-0.19293873020419855
id-1354_AU10Open-33_AU17-66_AU6-66_AU7-100	sub-01	0.3254040363997217	-0.29000000000000004	-0.09875	-0.15749999999999997	-0.19293873020419855
