anger	disgust	fear	happiness	sadness	surprise	sub	feature_space
0.763631665087432	0.5702459016393442	0.6222293607452618	0.8357978723404256	0.7594670406732116	0.6993338008415149	02	vertexPCA_type-static+vertexPCA_type-dynamic
0.5711156803146791	0.6878026843780268	0.7104394208788416	0.8288503435562259	0.640151515151515	0.7733918128654971	03	vertexPCA_type-static+vertexPCA_type-dynamic
0.539719396530542	0.5391465973362525	0.46194968553459115	0.6781818181818183	0.5560044359949302	0.5418629257969829	04	vertexPCA_type-static+vertexPCA_type-dynamic
0.7042659117532213	0.6536935704514364	0.6897285484242005	0.9068367346938775	0.7704335064348611	0.6227272727272727	05	vertexPCA_type-static+vertexPCA_type-dynamic
0.6568350168350169	0.6693624003750587	0.5584002677376171	0.7441390780928244	0.6388888888888888	0.6752606255012029	06	vertexPCA_type-static+vertexPCA_type-dynamic
0.5564413265306122	0.5638528138528138	0.6452241715399609	0.7558201058201056	0.5194101508916323	0.5162085062240663	07	vertexPCA_type-static+vertexPCA_type-dynamic
0.7176136363636364	0.6879837334382789	0.6246779751748135	0.791640873971158	0.6810012836970475	0.5605658709106985	08	vertexPCA_type-static+vertexPCA_type-dynamic
0.7034574468085106	0.596916533758639	0.6443381180223287	0.7387739164388911	0.6737040133779264	0.689117769454848	09	vertexPCA_type-static+vertexPCA_type-dynamic
0.6338935846368082	0.5020069494368561	0.5240575396825397	0.8621717024515042	0.6566061253561253	0.6714426877470354	10	vertexPCA_type-static+vertexPCA_type-dynamic
0.6443713450292397	0.49699286442405693	0.5138552596179714	0.8298132843587389	0.7090634735202492	0.5021198830409356	11	vertexPCA_type-static+vertexPCA_type-dynamic
0.7699891067538127	0.42482817869415807	0.5451652704721085	0.8892983264240749	0.7518072289156627	0.713888888888889	12	vertexPCA_type-static+vertexPCA_type-dynamic
0.794753086419753	0.6612903225806451	0.6800542580797359	0.8304843304843306	0.6667786738351255	0.6933621933621932	13	vertexPCA_type-static+vertexPCA_type-dynamic
